TIMESTAMP                  	APPDOMAIN                                    	LOGGERNAME                                 	THREADNAME                                	LEVEL    	MESSAGE
2023-05-23 17:29:48,934    	Travel.API                                   	EFCoreLogs-myClusteredCache                	40                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:29:52,225    	Travel.API                                   	EFCoreLogs-myClusteredCache                	40                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:29:52,228    	Travel.API                                   	EFCoreLogs-myClusteredCache                	40                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:29:53,662    	Travel.API                                   	EFCoreLogs-myClusteredCache                	44                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:29:53,665    	Travel.API                                   	EFCoreLogs-myClusteredCache                	44                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:29:54,459    	Travel.API                                   	EFCoreLogs-myClusteredCache                	45                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:29:54,463    	Travel.API                                   	EFCoreLogs-myClusteredCache                	45                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:29:55,141    	Travel.API                                   	EFCoreLogs-myClusteredCache                	41                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
2023-05-23 17:29:55,144    	Travel.API                                   	EFCoreLogs-myClusteredCache                	41                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Join([Microsoft.EntityFrameworkCore.Query.QueryRootExpression], Extent1 => Extent1.CityId, Extent2 => Extent2.CityId, (Extent3, Extent4) => new <>f__AnonymousType9`2(h = Extent3, c = Extent4)).Where(Extent5 => (Extent5.c.CityName == value(InfiGrowth.Infra.Repository.CityRepository+<>c__DisplayClass8_0).cityName)).Select(Extent6 => Extent6.h)'
2023-05-23 17:29:55,784    	Travel.API                                   	EFCoreLogs-myClusteredCache                	43                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[InfiGrowth.Entity.Manage.Hotel] with options CachingOptions = { AbsoluteExpirationTime = '31-12-9999 23:59:59', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'SeperateEntities', Priority = 'Default', CreateDbDependency = 'False' }.
